,FOOT\foot1_001.txt,FOOT\foot2_001.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,Item Set,Dynamic EQ,Trade Key,Expire,Prefix,
White Beauty Shoes,FOOT\foot1_frankenstien.txt,FOOT\foot2_frankenstien.txt,6,153,1000,0,2,23,8184,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3190
Flower Kabuki Shoes,FOOT\foot1_Luau_Raver.txt,FOOT\foot2_Luau_Raver.txt,7,153,1000,0,2,10,8425,240,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3191
Phantom Thief Shoes,FOOT\foot1_Luau_Raver.txt,FOOT\foot2_Luau_Raver.txt,7,153,1000,0,2,10,8421,240,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3192
Peach Rose Shoes,,,6,153,1000,0,2,23,8469,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3193
Chocolatier Shoes,,,6,153,1000,0,2,23,8474,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3194
Rabbit Spade Shoes,,,6,153,1000,0,2,10,8497,244,579,93,1,1830,1,,,,,,,,,,,,,,30,10,15,10,80,,,,,,LFOO3195
Rabbit Club Shoes,,,6,153,1000,0,2,10,8498,244,579,93,1,1830,1,,,,,,,,,,,,,,30,10,15,10,80,,,,,,LFOO3196
Rabbit Heart Shoes,,,6,153,1000,0,2,10,8499,244,579,93,1,1830,1,,,,,,,,,,,,,,30,10,15,10,80,,,,,,LFOO3197
Rabbit Diamond Shoes,,,6,153,1000,0,2,10,8500,244,579,93,1,1830,1,,,,,,,,,,,,,,30,10,15,10,80,,,,,,LFOO3198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autumn Blossom Shoes,FOOT\foot1_Autumn_Blossom.txt,FOOT\foot2_Autumn_Blossom.txt,6,153,1000,0,2,10,7709,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3200
Winter Polar Shoes,FOOT\foot1_Winter_Polar.txt,FOOT\foot2_Winter_Polar.txt,6,153,1000,0,2,10,7710,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3201
Elegant Winter Shoes,FOOT\foot1_Elegant_Winter.txt,FOOT\foot2_Elegant_Winter.txt,6,153,1000,0,2,10,7711,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3202
Red Winter Boots,FOOT\foot1_Elegant_Winter.txt,FOOT\foot2_Elegant_Winter.txt,6,153,1000,0,2,10,7692,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3203
Green Winter Boots,FOOT\foot1_Elegant_Winter.txt,FOOT\foot2_Elegant_Winter.txt,6,153,1000,0,2,10,7693,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3204
Black Leopard Santa Boots,FOOT\foot1_Elegant_Winter.txt,FOOT\foot2_Elegant_Winter.txt,6,153,1000,0,2,10,7701,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3205
Leopard Rudolph Boots,FOOT\foot1_Elegant_Winter.txt,FOOT\foot2_Elegant_Winter.txt,6,153,1000,0,2,10,7705,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3206
Snowman Feet,FOOT\foot1_Elegant_Winter.txt,FOOT\foot2_Elegant_Winter.txt,6,153,1000,0,2,10,7711,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3207
Pink Winter Boots,FOOT\foot1_Elegant_Winter.txt,FOOT\foot2_Elegant_Winter.txt,6,153,1000,0,2,10,8130,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3208
Yellow Leopard Santa Boots,FOOT\foot1_Elegant_Winter.txt,FOOT\foot2_Elegant_Winter.txt,6,153,1000,0,2,10,8134,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3209
Icy Dance Shoes,FOOT\foot1_Elegant_Winter.txt,FOOT\foot2_Elegant_Winter.txt,6,153,1000,0,2,10,8139,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3210
Winter Sleeping Slippers,FOOT\foot1_Elegant_Winter.txt,FOOT\foot2_Elegant_Winter.txt,6,153,1000,0,2,10,8379,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3211
Black Winter Boots,FOOT\foot1_Elegant_Winter.txt,FOOT\foot2_Elegant_Winter.txt,6,153,1000,0,2,10,8389,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3212
Military Leader's Boots,,,7,153,0,0,2,0,8524,244,579,,,,,,,,,,,,,,,,,,30,,10,8,70,,,,,,LFOO3213
Cat Pads,,,7,153,0,0,2,0,8525,244,579,,,,,,,,,,,,,,,,,,30,,10,8,70,,,,,,LFOO3214
Dog Pads,,,7,153,0,0,2,0,8526,244,579,,,,,,,,,,,,,,,,,,30,,10,8,70,,,,,,LFOO3215
Captains Boots,,,7,153,1000,0,2,10,8530,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3216
Cowboy Boots,,,7,153,1000,0,2,10,8533,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3217
Cactus Shoes,,,7,153,1000,0,2,10,8535,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3218
Chained Feet,,,7,153,1000,0,2,10,8537,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3219
Pink Flower Shoes,,,7,153,1000,0,2,10,8596,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3220
Blue Flower Shoes,,,7,153,1000,0,2,10,8595,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3221
Blue Festival Clogs,,,7,153,1000,0,2,10,8584,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3222
Green Festival Clogs,,,7,153,1000,0,2,10,8585,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3223
Red Battle Tribal Shoes,,,7,153,1000,0,2,10,8590,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3224
Black Battle Tribal Shoes,,,7,153,1000,0,2,10,8591,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3225
Red Halloween Shoes,,,6,153,1000,0,2,23,8622,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3226
Christmas Fashion Shoes,,,6,153,1000,0,2,10,2435,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3227
Pink Chocolatier Shoes,,,6,153,1000,0,2,23,2449,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3228
Pink Marriage Shoes,,,6,153,1000,0,2,23,2452,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3229
White Priest Shoes,,,7,153,1000,0,2,10,2506,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3230
Green Priest Shoes,,,7,153,1000,0,2,10,2505,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3231
Red Shinobi Shoes,,,7,153,1000,0,2,10,2517,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3232
Blue Shinobi Shoes,,,7,153,1000,0,2,10,2518,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3233
Brown Bear Sleeping Shoes,,,6,153,1000,0,2,10,2649,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3234
White Bear Sleeping Shoes,,,6,153,1000,0,2,10,2650,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3235
Panda Sleeping Shoes,,,6,153,1000,0,2,10,2653,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3236
Pink Casual Shoes,,,6,153,1000,0,2,10,2655,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3237
Brown Aristocrat Shoes,,,7,153,1000,0,2,10,2762,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3238
Black Aristocrat Shoes,,,7,153,1000,0,2,10,2763,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3239
Purple Temari Shoes,,,7,153,1000,0,2,10,2776,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3240
White Ninja Shoes,,,7,153,1000,0,2,10,2778,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3241
Black Ninja Shoes,,,7,153,1000,0,2,10,2779,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3242
Blue Battle Tribal Shoes,,,7,153,1000,0,2,10,2784,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3243
Orange Halloween Devil Shoes,,,6,153,1000,0,2,23,2844,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3244
Red Halloween Devil Shoes,,,6,153,1000,0,2,23,2856,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3245
Green Temari Shoes,,,7,153,1000,0,2,10,2874,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3246
Black Captains Shoes,,,7,153,1000,0,2,10,2877,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3247
Pumpkin Wizard Shoes,,,6,153,1000,0,2,10,2915,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3248
Orange Captains Shoes,,,7,153,1000,0,2,10,2919,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3249
Pastry Chef Shoes,,,7,153,1000,0,2,10,3591,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3250
Chocolate Fondant Shoes,,,6,153,1000,0,2,10,3581,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3251
Phantom Burglar Shoes,,,7,153,1000,0,2,10,3585,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3252
Forest Dweller Shoes,,,7,153,1000,0,2,10,3599,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3253
Blind Slayer Shoes,,,7,153,1000,0,2,10,3594,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3254
Fox Priestess Shoes,,,7,153,1000,0,2,10,3604,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3255
White Chocolatier Shoes,,,6,153,1000,0,2,10,3607,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3256
Blue Wrapped Shoes,,,6,153,1000,0,2,23,3617,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3257
Floral Wedding Shoes,,,6,153,1000,0,2,23,3631,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3258
Red Rebellion Shoes,,,6,153,1000,0,2,10,3947,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3259
Blue Fox Priestess Shoes,,,7,153,1000,0,2,10,8729,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3260
Green Shinobi Shoes,,,7,153,1000,0,2,10,8733,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3261
Red Temari Shoes,,,7,153,1000,0,2,10,8739,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3262
Orange Neon Shoes,,,6,153,1000,0,2,10,8745,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3263
Purple Neon Shoes,,,6,153,1000,0,2,10,8746,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3264
Blue Neon Shoes,,,6,153,1000,0,2,10,8760,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3265
Yellow Neon Shoes,,,6,153,1000,0,2,10,8747,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3266
Little Blue Shoes,,,6,151,0,0,6,33,8799,228,580,,,,,,,,,,,,,20,4,,14,8,30,,10,8,85,,,,,,LFOO3267
Little Shiny Yellow Shoes,,,6,151,0,0,6,33,8804,228,580,,,,,,,,,,,,,20,4,,14,8,30,,10,8,85,,,,,,LFOO3268
Little Green Shoes,,,6,151,0,0,6,33,8795,228,580,,,,,,,,,,,,,20,4,,14,8,30,,10,8,85,,,,,,LFOO3269
Little Pink Shoes,,,6,151,0,0,6,33,8791,228,580,,,,,,,,,,,,,20,4,,14,8,30,,10,8,85,,,,,,LFOO3270
Yellow Kerokero Boots,,,7,153,1000,0,2,10,8749,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3271
White Kerokero Boots,,,7,153,1000,0,2,10,8750,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3272
Blue Sidme Shoes,,,7,153,1000,0,2,10,8900,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3273
Green Sidme Shoes,,,7,153,1000,0,2,10,8901,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3274
White Anniversary Shoes,,,6,153,1000,0,2,10,9092,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3275
Blue Anniversary Shoes,,,6,153,1000,0,2,10,9090,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3276
Jack o'lantern Boots,,,6,153,1000,0,2,10,8934,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3277
Purple Halloween Devil Shoes,,,6,153,1000,0,2,23,8942,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3278
Little Orange Shoes,,,6,151,0,0,6,33,8973,228,580,,,,,,,,,,,,,20,4,,14,8,30,,10,8,85,,,,,,LFOO3279
Little Purple Shoes,,,6,151,0,0,6,33,8977,228,580,,,,,,,,,,,,,20,4,,14,8,30,,10,8,85,,,,,,LFOO3280
Red Festival Clogs,,,7,153,1000,0,2,10,8986,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3281
Blue Priest Shoes,,,7,153,1000,0,2,10,8989,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3282
Red Aristocrat Shoes,,,7,153,1000,0,2,10,8993,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3283
Brown Kerokero Boots,,,7,153,1000,0,2,10,8999,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3284
Pink Charmy Animal Boots,,,7,153,1000,0,2,10,9005,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3285
Green Christmas Fashion Shoes,,,6,153,1000,0,2,10,9029,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3286
Black Tesla Steampunk Shoes,,,7,153,1000,0,2,10,9052,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3287
Christmas Glamour Shoes,,,6,153,1000,0,2,10,9061,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3288
White Christmas Glamour Shoes,,,6,153,1000,0,2,10,9062,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3289
Chocolate Confectioner Shoes,,,6,153,1000,0,2,23,9069,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3290
Orange Confectioner Shoes,,,6,153,1000,0,2,23,9070,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3291
Cookie Confectioner Shoes,,,6,153,1000,0,2,23,9071,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3292
Strawberry Fondant Shoes,,,6,153,1000,0,2,10,9080,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3293
Wedding Gown Shoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Tesla Steampunk Shoes,,,7,153,1000,0,2,10,9107,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3295
Blue Charmy Animal Boots,,,7,153,1000,0,2,10,9103,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3296
Yellow Sidme Shoes,,,7,153,1000,0,2,10,9097,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3297
Purple Oracle Shoes,,,7,153,1000,0,2,10,9111,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3298
Styled Festival Shoes,,,6,153,1000,0,2,10,9126,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3299
Dancing Fever Shoes,,,6,153,1000,0,2,10,9098,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3300
Blue Mariner Sandals,,,6,153,1000,0,2,10,9135,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3301
Red Mariner Sandals,,,6,153,1000,0,2,10,9136,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3302
Blue Starwisher Shoes,,,7,153,1000,0,2,10,9170,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3303
Pink Starwisher Shoes,,,7,153,1000,0,2,10,9171,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3304
Yellow Music Star Boots,,,7,153,1000,0,2,10,9178,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3305
Black Music Star Boots,,,7,153,1000,0,2,10,9163,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3306
Pumpkin Marquis Shoes,,,7,153,1000,0,2,10,9194,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3307
Stylish Halloween Boots,,,7,153,1000,0,2,10,9189,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3308
Vampire Boots,,,7,153,1000,0,2,10,9239,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3309
Death Reaper Boots,,,7,153,1000,0,2,10,9250,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3310
Pumpkin Costume Shoes,,,7,153,1000,0,2,10,9254,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3311
Goalkeeper Cleats,,,6,153,1000,0,2,20,9258,244,579,,,,,,,,,,,,,,,,,,30,,5,2,80,,,,,,LFOO3312
Green Christmas Glamour Shoes,,,7,153,1000,0,2,10,9279,240,579,,,,,,,,,,,,,,,,,,35,,10,10,85,,,,,,LFOO3313
Purple Sage Shoes,,,7,153,1000,0,2,10,9305,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3314
White Sage Shoes,,,7,153,1000,0,2,10,9306,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3315
Reindeer Shoes,,,6,153,1000,0,2,10,9323,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3316
Snowman Shoes,,,7,153,1000,0,2,10,9324,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3317
Snowman Costume Boots,,,7,153,1000,0,2,10,9325,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3318
Milk Sweetmaker Shoes,,,6,153,1000,0,2,10,9377,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3319
Strawberry Sweetmaker Shoes,,,6,153,1000,0,2,10,9378,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3320
Lemon Sweetmaker Shoes,,,6,153,1000,0,2,10,9382,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3321
Brown Wrapped Shoes,,,6,153,1000,0,2,23,9387,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3322
Red Oni Shoes,,,7,153,1000,0,2,10,9395,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3323
Black Oni Shoes,,,7,153,1000,0,2,10,9394,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3324
Pink Music Star Boots,,,7,153,1000,0,2,10,9400,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3325
Brown Majestic Boots,,,7,153,1000,0,2,10,9404,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3326
Fox Mailman Boots,,,7,153,1000,0,2,10,9419,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3327
Fashionable Kimono Shoes,,,7,153,1000,0,2,10,9428,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3328
Red Fashion Sandals,,,6,153,1000,0,2,10,9433,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3329
Blue Fashion Sandals,,,6,153,1000,0,2,10,9434,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3330
Purple Sunset Sandals,,,7,153,1000,0,2,10,9438,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3331
Yellow Oracle Shoes,,,7,153,1000,0,2,10,9441,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3332
Black Sunset Sandals,,,7,153,1000,0,2,10,9469,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3333
Blue Magic Animal Boots,,,7,153,1000,0,2,10,9498,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3334
Little Rainbow Shoes,,,6,151,0,0,6,33,9506,228,580,,,,,,,,,,,,,20,4,,14,8,30,,10,8,85,,,,,,LFOO3335
Black Sea Wolf Boots,,,7,153,1000,0,2,10,9561,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3336
White Money Player Shoes,,,6,153,1000,0,2,10,9557,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3337
Yellow Money Player Shoes,,,6,153,1000,0,2,10,9581,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3338
Lucifer Shoes,,,7,153,1000,0,2,10,9594,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3339
Red Sea Wolf Boots,,,7,153,1000,0,2,10,9610,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3340
Purple Wolf Feet,,,6,153,1000,0,2,10,9647,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3341
Red Dragonic Boots,,,7,153,1000,0,2,10,9695,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3342
Purple Dragonic Boots,,,7,153,1000,0,2,10,9694,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3343
Chocolate Confiseur Shoes,,,6,153,1000,0,2,23,9717,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3344
Strawberry Confiseur Shoes,,,6,153,1000,0,2,23,9718,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3345
Little Red Riding Shoes,,,6,153,1000,0,2,23,9743,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3346
Little Blue Riding Shoes,,,6,153,1000,0,2,23,9744,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3347
Blue Cybercat Shoes,,,7,153,1000,0,2,10,9753,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3348
Purple Cybercat Shoes,,,7,153,1000,0,2,10,9754,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3349
White Rabbit Fairy Shoes,,,6,153,1000,0,2,10,9770,244,579,93,1,1830,1,,,,,,,,,,,,,,30,10,15,10,80,,,,,,LFOO3350
Purple Rabbit Fairy Shoes,,,6,153,1000,0,2,10,9769,244,579,93,1,1830,1,,,,,,,,,,,,,,30,10,15,10,80,,,,,,LFOO3351
White Sidme Shoes,,,7,153,1000,0,2,10,9777,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3352
Blue Celebration Shoes,,,6,153,1000,0,2,10,9780,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3353
Little Forest Shoes,,,6,151,0,0,6,33,9784,228,580,,,,,,,,,,,,,20,4,,14,8,30,,10,8,85,,,,,,LFOO3354
Winter Twilight Shoes,,,6,153,1000,0,2,10,9877,244,579,,,,,,,,,,,,,,,,,,30,,15,10,85,,,,,,LFOO3355
Yuletide Gala Shoes,,,6,153,1000,0,2,10,9882,244,579,,,,,,,,,,,,,,,,,,30,,15,10,85,,,,,,LFOO3356
Holy Night Shoes,,,6,153,1000,0,2,10,9993,244,579,,,,,,,,,,,,,,,,,,30,,15,10,85,,,,,,LFOO3357
Silent Night Shoes,,,7,153,1000,0,2,10,10006,244,579,,,,,,,,,,,,,,,,,,30,,15,10,85,,,,,,LFOO3358
Blue Mechanical Punk Shoes,,,7,153,1000,0,2,10,10014,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3359
Red Mechanical Punk Shoes,,,7,153,1000,0,2,10,10019,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3360
Brown Valentines Boots,,,6,153,1000,0,2,23,10047,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3361
Pink Valentines Boots,,,6,153,1000,0,2,23,10049,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3362
Mint Confiseur Shoes,,,6,153,1000,0,2,23,10053,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3363
Yellow Dragonic Boots,,,7,153,1000,0,2,10,10058,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3364
Green Magic Animal Boots,,,7,153,1000,0,2,10,10071,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3365
Pink Cendrillon Shoes,,,6,153,1000,0,2,23,10156,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3366
Blue Cendrillon Shoes,,,6,153,1000,0,2,23,10155,244,579,,,,,,,,,,,,,,,,,,35,,15,10,80,,,,,,LFOO3367
Brown Patchwork Shoes,,,7,153,1000,0,2,10,6363,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3368
Pink Patchwork Shoes,,,7,153,1000,0,2,10,6364,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3369
Blue Sea Wolf Boots,,,7,153,1000,0,2,10,6366,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3370
Black Crow Masquerade Shoes,,,7,153,1000,0,2,10,10180,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3371
Red Crow Masquerade Shoes,,,7,153,1000,0,2,10,10181,244,579,,,,,,,,,,,,,,,,,,30,,10,8,85,,,,,,LFOO3372
Green Mermaid Shoes,,,6,153,1000,0,2,10,10200,240,579,,,,,,,,,,,,,,,,,,30,,28,8,70,,,,,,LFOO3373
