string,,,,,,,,,,,,,,,,,,,,,,,,,Can Target,300,,1,,,,,,,,,,,,string,string,,Unused,Collision On/Off,Bone Index,Box X Scale,Box Y Scale,Box Z Scale,Ignore Database Data,Dialog Mob,Event Id,Invincible,Seasonal Event,Stun Immune,Swap,Pet Scale,Pet Y,Pet Height,Damage Limit,Servertype,Hide Armory,Expire Damage,Stat Tracker,AB Adjust,AX,AY,AZ,BX,BY,BZ,AB Hit,Block AOE Damage,Clan Stat Tracker,Whitelist
Golden Box,GoldenBox.mon,0,0,250,,,160,1,10,10,300,300,40,100,,748,15,790,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC3042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Box,GoldenBox.mon,0,0,250,,,160,1,10,10,300,300,40,100,,748,15,791,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Box,GoldenBox.mon,0,0,250,,,160,1,10,10,300,300,40,100,,748,15,792,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC3044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Box,GoldenBox.mon,0,0,250,,,160,1,10,10,300,300,40,100,,748,15,793,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Box,GoldenBox.mon,0,0,250,,,160,1,10,10,300,300,40,100,,2,15,794,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Box,GoldenBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,749,15,795,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC3054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Box,GoldenBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,749,15,796,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC3055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Box,GoldenBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,749,15,797,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC3056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Box,GoldenBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,749,15,798,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC3057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Box,GoldenBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,2,15,799,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC3009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Mob Elite Soldier,SilverBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,738,15,779,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Mob Elite Muse,SilverBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,739,15,779,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Mob Elite Hawker,SilverBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,740,15,779,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Mob Elite Dealer,SilverBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,741,15,779,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Mob Nightmare Soldier,SilverBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,742,15,779,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Mob Nightmare Muse,SilverBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,743,15,779,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Mob Nightmare Hawker,SilverBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,744,15,779,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Mob Nightmare Dealer,SilverBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,745,15,779,,100,,,,,,10,1,1,28,,,,401,1401,182,,11,,,LNPC2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verminios Guardian (Thunder),alex_larva_black.mon,0,0,150,1085,,235,700,2100,750,1300,8000,450,110,,1402,2000,961,30,60,,,,,,4000,10,1,0,,,,401,1401,198,,28,,010010040,LNPC2844,,,,,,,,,,,,,,,,,,,,,,,,1,0,-255,470,500,550,650,,,,
Verminios Guardian (Ice),alex_larva_blue.mon,0,0,150,1085,,235,700,2100,750,1300,8000,450,110,,1403,2000,962,30,60,,,,,,4000,10,1,0,,,,401,1401,198,,28,,010030030,LNPC2845,,,,,,,,,,,,,,,,,,,,,,,,1,0,-255,470,500,550,650,,,,
Verminios Guardian (Fire),alex_larva.mon,0,0,150,1085,,235,700,2100,750,1300,8000,450,110,,1404,2000,963,30,60,,,,,,4000,10,1,0,,,,401,1401,198,,28,,030010010,LNPC2846,,,,,,,,,,,,,,,,,,,,,,,,1,0,-255,470,500,550,650,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Lantern,Ev_Leprechaun.mon,0,0,100,,,250,1000,10,10,9999,9999,9999,100,,524,,,,,,,,,1,10,1,1,0,,,,401,0,0,,27,,,LNPC2975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Lantern,Ev_Leprechaun.mon,0,0,100,,,250,1000,10,10,9999,9999,9999,100,,524,,,,,,,,,1,10,1,1,0,,,,401,0,0,,27,,,LNPC2976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leprechaun,Ev_Leprechaun.mon,0,0,50,,,250,1000,10,10,9999,9999,9999,100,,524,,,,,,,,,1,10,1,1,0,,,,401,0,0,,27,,,LNPC2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pot of Gold,nothing.mon,0,0,100,,,250,1000,10,10,9999,9999,9999,100,,524,,,,,,,,,1,10,1,1,0,,,,401,0,0,,11,,,LNPC2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinning Trap,,0,0,35,,,250,1000,100,100,100,100,100,100,,,,,,,,,,,,10,1,1,28,,,,401,1401,,,11,,,LNPC2979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trollbox,GoldenBox.mon,0,0,250,,,215,1,10,10,300,300,40,100,,882,1,,,,,,,,,10,1,1,28,,,,401,3201,182,,11,,,LNPC3009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Troll,oro_boss.mon,0,0,200,,,235,4000,2000,1000,700,1000,500,220,,903,1,100,1,99,,,,,,5500,10,1,0,,,,402,338,,,28,,102102102,LNPC1849,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[GM]Tuweky,GoldenBox.mon,200,900,110,383,45,230,100,100,100,100,100,100,100,,450,1,,,,,,,,,150,,1,40,,,,401,1401,182,,11,,,LNPC2982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavenly Troll,astarot.mon,300,710,500,1055,,170,750,925,569,725,600,250,110,,903,1,100,1,99,,,,,,250,10,2,,321,,,454,1401,322,,18,,234221190,LNPC0420,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killer Tree,killer.mon,300,800,300,101,,100,10000,1000,1000,10,5000,300,300,,446,1,,,,,,,,,400,10,2,,,,,401,1401,322,,18,,,LNPC2984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pot of No Gold,nothing.mon,0,0,100,,,250,1000,10,10,9999,9999,9999,100,,524,,,,,,,,,1,10,1,1,0,,,,401,0,0,,11,,,LNPC2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easter Egg,EasterEgg.mon,0,0,50,,,250,1000,10,10,9999,9999,9999,100,,524,,,,,,,,,1,10,1,1,0,,,,401,0,0,,27,,,LNPC0575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Ghost,jghost01.mon,0,0,130,,,250,1000,10,10,9999,9999,9999,100,,524,,,,,,,,,1,10,1,1,0,,,,401,,,,,,,LNPC0941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eternal Stone Tower,,0,0,200,,,200,100000,10,10,1200,1500,200,100,,,5000,,,,,,,,,10,1,1,0,,,,401,1401,322,,27,,,LNPC2988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,turak2.mon,200,350,475,1112,,200,200,200,200,200,200,200,100,,,500,,,,,,,,,270,11,1,0,389,92,388,454,1401,390,,22,,,LNPC1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,turak2.mon,200,350,475,1112,,200,200,200,200,200,200,200,100,,,500,,,,,,,,,270,11,1,0,389,92,388,454,1401,390,,22,,,LNPC1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,turak2.mon,200,350,475,1112,,200,200,200,200,200,200,200,100,,,500,,,,,,,,,270,11,1,0,389,92,388,454,1401,390,,22,,,LNPC1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,turak2.mon,200,350,475,1112,,200,200,200,200,200,200,200,100,,,500,,,,,,,,,270,11,1,0,389,92,388,454,1401,390,,22,,,LNPC1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,turak2.mon,200,350,475,1112,,200,200,200,200,200,200,200,100,,,500,,,,,,,,,270,11,1,0,389,92,388,454,1401,390,,22,,,LNPC1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Shell,Shell.mon,200,260,60,,,10,100,10,10,10,10,10,100,,2,15,,,,,,,,,220,1,1,28,,,,401,1401,182,,11,,,LNPC2994,SE10_Selene_Drop,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Sand Castle Summon,Scastle.mon,0,0,65,1073,,30,2000,10,10,300,300,40,100,,1258,0,,,,50,,,,,10,,1,40,,,,,,,,,,,LNPC2995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil Bunny,evilbunny.mon,180,500,250,,,50,150,250,120,230,120,1,100,,492,0,0,,60,,,,,,10,1,1,0,,,,401,,,,,,,LNPC2996,Easter_Jones_Proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil Bunny,evilbunny.mon,180,500,550,,,100,10000,1,500,1000,1,1,100,,491,0,0,,60,,,,,,10,1,1,0,,,,401,,,,,,,LNPC2997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easter Egg,Easteregg.mon,180,266,100,,,6,50,10,50,20,15,20,100,,489,0,0,,60,,,,,,10,1,1,0,,,,401,,,,,,,LNPC0575,Easter_Pony_Proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easter Bunny ,Easterbunny.mon,180,266,100,,,5,50,15,55,30,20,25,100,,490,0,0,,60,,,,,,10,1,1,0,,,,401,,,,,,,LNPC0574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????????? ????,tree1.mon,0,0,350,1073,,250,50000,10,10,9999,4000,4000,100,,742,0,,,,,,,,,10,,1,40,,,,,,,,,,,LNPC0992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??????(????),Ev_PigMon.mon,180,266,100,,,100,50,10,10,9999,1,1,100,,486,0,0,,60,,,,,,10,1,1,0,,,,401,,,,,,,LNPC3001,NewYear_luck_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??????(????),Ev_PigMon.mon,180,266,100,,,100,50,10,10,9999,1,1,100,,487,0,0,,60,,,,,,10,1,1,0,,,,401,,,,,,,LNPC3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Pigs,Ev_PigMon2.mon,180,266,300,,,25,50,50,100,100,100,70,100,,488,0,0,0,100,,,,,,10,1,1,0,,,,401,,,,,,,LNPC3003,LovePig_Proof,,,,,,,,,,,,1,,,,-60,50,40,,,,,,,,,,,,,,,
Sand Castle (No Pet),Scastle.mon,0,0,65,0,,1,10,1,1,1,1,1,100,,,0,0,0,100,0,,,,,10,0,1,0,,,,,,,,,,,LNPC3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallow Ghost,evilbunny.mon,180,666,325,,,100,5000,1,500,1000,1,1,100,,592,0,0,,100,,,,,,10,1,1,0,,,,401,,,,,,,LNPC3005,,670,,,,,,,,,,,,,,80,,,,,,,,1,0,0,-10,150,100,300,,1,,
Hallow Ghost,evilbunny.mon,180,666,325,,,100,5000,1,500,1000,1,1,100,,593,0,0,,100,,,,,,10,1,1,0,,,,401,,,,,,,LNPC3005,,670,,,,,,,,,,,,,,,,,,,,,,1,0,0,-10,150,100,300,,1,,
Cherry Smouly,smallree3.mon,200,400,100,1081,,40,21,127,112,115,74,63,100,,286,0,0,,60,,,,,,1200,1,1,27,,,,,1401,,,,,,LNPC0304,5092-10,290,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Love Pigs,Ev_PigMon2.mon,180,266,300,,,10,100,100,100,100,100,100,100,,,0,0,,,,,,,,10,999,,0,,,,,,,,,,,LNPC3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil Bunny,evilbunny.mon,180,500,550,,,100,10000,1,500,1000,1,1,100,,743,0,0,,60,,,,,,10,1,1,0,,,,401,,,,,,,LNPC2997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obsidian Tower npc 1,warrior1.mon,0,0,120,,,10,100,100,100,100,100,100,100,,940,35,55,,,217,218,219,,,200,999,,16,,,,,1401,,,10,,,LNPC3010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obsidian Tower npc 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obsidian Tower npc 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obsidian Tower npc 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obsidian Tower npc 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfly,nabi1.mon,130,280,180,,,1,94,20,70,500,500,500,15,,91,4,,,,,,,,,100,1,1,41,,,,401,1401,,,19,,,LNPC0316,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,Chicken.mon,180,266,160,,,1,27,1,55,23,10,3,20,,91,9,,,,,,,,,150,0,1,0,,,,401,1401,,,20,,,LNPC1276,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicks,Chicken_son.mon,180,266,160,,,1,27,1,55,23,10,3,20,,91,9,,,,,,,,,150,0,1,0,,,,401,1401,,,20,,,LNPC1275,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Jelly Bean,jellybean1.mon,160,370,156,,,2,44,2,56,25,11,5,80,,101,6,,,,,,,,,190,1,1,12,,,,401,1401,182,,11,,,LNPC0001,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelly Nut,jellybean2.mon,175,400,170,,,5,28,8,60,31,15,9,90,,101,6,,,,,,,,,220,1,1,48,,,,403,1401,182,,11,,,LNPC0003,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Jelly Bean,jellybean3.mon,200,450,55,,,6,31,12,56,27,17,15,95,,104,7,,,,,,,,,250,3,1,48,,,,403,1401,182,,11,,,LNPC0005,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelly King,jellybean2.mon,200,360,170,,,13,49,44,84,57,34,21,90,,54,43,,,,,,,,,230,9,1,48,,,,,1401,182,,15,,,LNPC0203,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelly Queen,qu_jellybean2.mon,200,360,280,,,50,150,200,100,85,30,20,100,,919,,,,,,,,,,230,11,1,0,,,,403,1401,370,,11,,050050050,LNPC2364,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Pigs,Ev_PigMon2.mon,180,266,300,,,25,50,50,100,250,100,150,100,,488,0,,,,,,,,,10,1,1,0,,,,401,,,,,,,LNPC3003,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini-Choropy,larva2.mon,160,242,35,,,4,31,6,59,29,13,6,90,,1,5,,,,,,,,,180,1,1,36,,,,401,1401,182,,11,,,LNPC0011,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choropy,larva1.mon,175,260,45,,,6,26,10,61,33,16,8,90,,2,6,,,,,,,,,200,1,1,36,,,,402,1401,182,,11,,,LNPC0012,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Choropy,larva3.mon,180,266,50,,,11,34,35,80,65,28,11,85,,2,12,,,,,,,,,230,2,1,60,,,,403,1401,182,,11,,,LNPC0015,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother Choropy,larva1.mon,180,266,60,,,10,35,32,78,62,27,10,80,,2,11,,,,,,,,,220,2,1,36,,,,403,1401,182,,11,,,LNPC0013,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dad Choropy,larva1.mon,180,266,60,,,10,35,32,78,62,27,10,80,,2,11,,,,,,,,,220,2,1,36,,,,403,1401,182,,11,,,LNPC0013,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flanae,livida1.mon,0,0,80,1072,,7,25,20,63,30,17,22,90,1,15,6,,,,,,,,,1750,1,1,40,,,,,1401,198,,11,,,LNPC0041,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Flanae,livida1.mon,0,0,100,1072,,8,28,30,59,30,20,24,85,1,15,6,,,,,,,,,1750,3,1,40,,,,,1401,198,,11,,,LNPC0042,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Flanae,livida2.mon,0,0,100,1073,,16,28,58,70,45,32,33,85,1,15,9,,,,,,,,,2400,3,1,40,,,,,1401,198,,11,,,LNPC0043,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Flanae,livida1.mon,0,0,200,1073,,21,31,65,91,92,46,17,75,1,18,10,,,,,,,,,2600,2,1,40,,,,,1401,198,,11,,,LNPC0045,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin,pumpkin1.mon,200,260,45,,,9,23,32,65,39,20,25,100,,590,9,,,,,,,,,220,1,1,28,,,,401,1401,182,,11,,,LNPC0021,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Pumpkin,pumpkin1.mon,200,260,60,,,10,35,31,74,62,27,10,85,,2,11,,,,,,,,,230,2,1,28,,,,402,1401,182,,11,,,LNPC0022,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elder Pumpkin,pumpkin2.mon,230,400,110,,,13,28,48,65,39,28,30,95,,21,11,,,,,,,,,250,3,1,79,,,,403,1401,182,,11,,,LNPC0023,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboy Pumpkin,pumpkin3.mon,200,260,120,,,14,25,55,85,56,18,18,110,,23,11,,,,,,,,,250,4,1,78,,,,403,1401,182,,11,,,LNPC0024,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Bee,bee1_b.mon,280,400,30,,,9,9,10,34,45,24,60,100,,92,16,,,,,,,,,250,1,1,0,,,,,1401,,,19,,,LNPC0301,Easy_Increase_Var,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeybee,bee1.mon,220,440,70,,,12,25,42,70,45,24,29,93,,3,11,,,,,,,,,210,1,1,26,205,,,402,1401,206,,11,,,LNPC0062,Easy_Increase_Var,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needle Hornet,bee3.mon,240,400,70,,,15,28,55,68,43,31,32,87,,5,11,,,,,,,,,230,3,1,54,205,,,403,1401,206,,11,,,LNPC0063,Easy_Increase_Var,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen Honeybee,queen_bee1.mon,240,320,95,1061,,26,20,85,90,51,100,45,80,1,26,13,,,,,,,,,800,7,1,25,205,,,,1401,210,,11,,,LNPC0067,Easy_Increase_Var,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master Queen Bibi,queen_bee1.mon,300,450,135,333,,33,43,136,117,109,68,42,90,1,28,35,,,,,,,,,1500,9,1,25,205,,,,1401,210,,15,,,LNPC0069,Easy_Increase_Var,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Needle Pomic,ant3.mon,140,400,80,1011,,12,25,42,70,45,24,29,85,,2,10,,,,,,,,,200,1,1,19,213,,,,1401,214,,11,,,LNPC0071,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Pomic,ant4.mon,170,500,90,1012,,15,28,55,68,43,31,32,80,,3,11,,,,,,,,,230,3,1,90,213,,,,1401,214,,11,,,LNPC0073,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomic Soldier,ant1.mon,160,420,92,1031,,17,32,52,84,81,39,15,75,,2,12,,,,,,,,,300,2,0,18,213,,,,1401,214,,11,,,LNPC0074,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomic Fighter,ant2.mon,160,380,102,1032,,19,27,73,74,51,37,39,90,,5,12,,,,,,,,,320,3,0,91,213,,,,1401,214,,11,,,LNPC0075,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Pomic,ant1.mon,160,420,92,1031,,17,32,52,84,81,39,15,75,,2,12,,,,,,,,,300,2,0,18,213,,,,1401,214,,11,,,LNPC0074,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woopie,wolf1.mon,150,350,90,1003,,16,25,56,75,54,31,33,90,,21,11,,,,,,,,,250,1,1,37,229,,,,1401,230,,11,,,LNPC0101,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woopie Chef,wolf2.mon,190,480,96,1080,,17,23,54,74,37,40,46,85,,26,12,,,,,,,,,1500,5,1,37,229,,,,1401,230,,11,,,LNPC0102,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woopie Glutton,wolf3.mon,170,390,110,1003,302,18,34,47,89,66,26,39,95,,23,15,,,,,,,,,260,8,1,86,229,,,,1401,230,,11,,,LNPC0103,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woopie King,wolf3.mon,230,550,170,1003,302,25,74,110,121,99,56,33,85,,55,130,,,,,,,,,250,10,1,86,229,,,,1401,230,,15,,,LNPC0205,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woopie Queen,qu_wolf3.mon,200,360,280,464,,50,180,280,110,125,70,50,100,,919,,,,,,,,,,250,11,1,0,,,,403,1401,370,,11,,050050050,LNPC2363,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beetle,stagbeetle1.mon,150,420,70,,,20,25,69,81,63,37,38,95,,3,14,,,,,,,,,180,1,2,16,217,,219,401,1401,218,,11,,,LNPC0081,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beetle Fighter,stagbeetle1.mon,145,350,80,,,22,27,80,78,57,43,40,100,,5,14,,,,,,,,,200,3,2,16,217,,219,402,1401,218,,11,,,LNPC0082,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enormous Beetle,stagbeetle1.mon,165,480,180,,,28,90,102,95,77,54,46,110,,3,28,,,,,,,,,200,9,2,16,217,,219,402,1401,218,,11,,,LNPC0080,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crack,may_beetle01.mon,130,400,66,,,20,25,69,81,63,37,38,95,,21,13,,,,,,,,,200,1,2,15,217,,219,,1401,218,,16,,,LNPC0087,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalping,snail02.mon,200,290,90,1071,,21,25,73,83,65,39,39,90,,26,13,,,,,,,,,1600,1,0,56,,,,,1401,,,11,,,LNPC0031,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranger Dalping,snail02.mon,210,302,100,1071,,22,23,70,81,46,50,53,90,,26,12,,,,,,,,,1800,5,0,56,,,,,1401,,,11,,,LNPC0032,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Dalping,snail01.mon,220,314,100,1071,,24,20,91,105,65,28,48,80,,13,12,,,,,,,,,1800,6,0,85,,,,,1401,,,11,,,LNPC0033,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalping Leader,snail02.mon,240,338,115,1071,,26,34,100,102,86,36,49,100,,28,25,,,,,,,,,2000,8,0,56,,,,,1401,,,11,,,LNPC0034,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey Rackie,raccoon1.mon,130,400,90,1011,,24,25,57,87,73,44,43,95,,106,11,,,,,,,,,230,1,1,14,221,,,,1401,222,,12,,,LNPC0091,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rackie Hooligan,raccoon1.mon,180,520,98,1014,,26,25,70,105,86,32,28,110,,106,11,,,,,,,,,250,4,1,14,221,,,,1401,222,,12,,,LNPC0092,Easy_Increase_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
