,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Bonus 3,Bonus 3 Value,Bonus 4,Bonus 4 Value,Item Set,Expire,Had Timer,Clan Stat ID,Monster ID,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,????????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shining Ring,????,,,171,2050,10,1,8,819,99,581,,,,,,,,,,,,,14,2,,,,,,,,,,,,,,,,,,LJEW001
Heavy Ring,????,,,171,2050,10,1,8,819,99,581,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,,,,LJEW002
Faint Ring,????,,,171,2050,10,1,8,819,99,581,,,,,,,,,,,,,13,2,,,,,,,,,,,,,,,,,,LJEW003
Fine Ring,????,,,171,2050,10,1,8,819,99,581,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,,,,LJEW004
Pierced Ring,??????,,,171,2350,10,1,8,819,99,581,,,,,,,,,,,,,20,3,,,,,,,,,,,,,,,,,,LJEW005
Smooth Ring,??????,,,171,2350,10,1,8,820,99,581,,,,,,,,,,,,,22,3,,,,,,,,,,,,,,,,,,LJEW006
Amulet Ring,??????,,,171,2350,10,1,8,820,99,581,,,,,,,,,,,,,21,3,,,,,,,,,,,,,,,,,,LJEW007
Glass Ring,????????,,,171,2050,10,1,8,820,99,581,,,,,,,,,,,,,26,2,,,,,,,,,,,,,,,,,,LJEW008
Pointed Ring,??????,,,171,2050,10,1,8,820,99,581,,,,,,,,,,,,,18,3,,,,,,,,,,,,,,,,,,LJEW009
Solid Ring,??????,,,171,2350,10,1,8,820,99,581,,,,,,,,,,,,,19,3,,,,,,,,,,,,,,,,,,LJEW010
Glamour Ring,????,,,171,7700,10,1,16,821,99,581,,,,,,,,,,,,,14,5,,,,,,,,,,,,,,,,,,LJEW011
Charming Ring,????,,,171,8000,10,1,18,821,99,581,,,,,,,,,,,,,14,5,,,,,,,,,,,,,,,,,,LJEW012
Talisman Ring,??????,,,171,13600,10,1,20,821,99,581,,,,,,,,,,,,,21,9,,,,,,,,,,,,,,,,,,LJEW013
Recovery Ring,HP????,,,171,12700,10,1,22,822,99,581,,,,,,,,,,,,,27,4,,,,,,,,,,,,,,,,,,LJEW014
Meditation Ring,MP????,,,171,13200,10,1,24,822,99,581,,,,,,,,,,,,,28,4,,,,,,,,,,,,,,,,,,LJEW015
Precision Ring,??????,,,171,26950,10,1,26,824,99,581,,,,,,,,,,,,,20,13,,,,,,,,,,,,,,,,,,LJEW016
Alluring Ring,????,,,171,26350,10,1,28,824,99,581,,,,,,,,,,,,,14,10,,,,,,,,,,,,,,,,,,LJEW017
Fascinating Ring,????,,,171,31650,10,1,30,825,99,581,,,,,,,,,,,,,14,11,,,,,,,,,,,,,,,,,,LJEW018
Ring of Magic,??????,,,171,46400,10,1,32,825,99,581,,,,,,,,,,,,,21,17,,,,,,,,,,,,,,,,,,LJEW019
Lizard Ring,HP????,,,171,33900,10,1,34,822,99,581,,,,,,,,,,,,,27,7,,,,,,,,,,,,,,,,,,LJEW020
Crackshot Ring,??????,,,171,70600,10,1,36,826,99,581,,,,,,,,,,,,,20,21,,,,,,,,,,,,,,,,,,LJEW021
Mage Ring,MP????,,,171,43800,10,1,38,826,99,581,,,,,,,,,,,,,28,8,,,,,,,,,,,,,,,,,,LJEW022
Gorgeous Ring,????,,,171,82200,10,1,40,829,99,581,,,,,,,,,,,,,14,18,,,,,,,,,,,,,,,,,,LJEW023
Dazzling Ring,????,,,171,92650,10,1,42,849,99,581,,,,,,,,,,,,,14,19,,,,,,,,,,,,,,,,,,LJEW024
Dark Ring,??????,,,171,139300,10,1,44,848,99,581,,,,,,,,,,,,,21,29,,,,,,,,,,,,,,,,,,LJEW025
Cure Ring,HP????,,,171,91550,10,1,46,846,99,581,,,,,,,,,,,,,27,12,,,,,,,,,,,,,,,,,,LJEW026
Sage Ring,MP????,,,171,93950,10,1,48,850,99,581,,,,,,,,,,,,,28,12,,,,,,,,,,,,,,,,,,LJEW027
Deadshot Ring,??????,,,171,222100,10,1,50,847,99,581,,,,,,,,,,,,,20,36,,,,,,,,,,,,,,,,,,LJEW028
Sunset Ring,????+??????,,,171,465410,10,1,52,849,99,581,,,,,,,,,,,,,14,28,,21,28,,,,,,,,,,,,,,,LJEW029
Full Moon Ring,????+??????,,,171,537750,10,1,54,848,99,581,,,,,,,,,,,,,10,30,,21,30,,,,,,,,,,,,,,,LJEW030
Warrior Ring,????+????,,,171,60000,10,1,45,849,99,581,,,,,,,,31,50,,,,18,8,,20,8,,,,,,,,,,,,,,,LJEW031
,,,,,,,,,,99,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,99,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,99,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,99,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,99,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,99,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,99,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,99,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,99,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shining Necklace,????,,,172,4150,10,1,8,884,95,581,,,,,,,,,,,,,14,2,,,,,,,,,,,,,,,,,,LJEW081
Light Necklace,????,,,172,4150,10,1,8,884,95,581,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,,,,LJEW082
Textual Necklace,????,,,172,4150,10,1,8,884,95,581,,,,,,,,,,,,,12,2,,,,,,,,,,,,,,,,,,LJEW083
Fine Necklace,????,,,172,4150,10,1,8,884,95,581,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,,,,LJEW084
Pierced Necklace,??????,,,172,4750,10,1,8,885,95,581,,,,,,,,,,,,,20,3,,,,,,,,,,,,,,,,,,LJEW085
Glass Necklace,????????,,,172,4150,10,1,8,885,95,581,,,,,,,,,,,,,26,2,,,,,,,,,,,,,,,,,,LJEW086
Smooth Necklace,??????,,,172,4750,10,1,8,885,95,581,,,,,,,,,,,,,22,3,,,,,,,,,,,,,,,,,,LJEW087
Pointed Necklace,??????,,,172,4100,10,1,8,886,95,581,,,,,,,,,,,,,18,3,,,,,,,,,,,,,,,,,,LJEW088
Solid Necklace,??????,,,172,4750,10,1,8,886,95,581,,,,,,,,,,,,,19,3,,,,,,,,,,,,,,,,,,LJEW089
Amulet Necklace,??????,,,172,4750,10,1,8,886,95,581,,,,,,,,,,,,,21,3,,,,,,,,,,,,,,,,,,LJEW090
Glamour Necklace,????,,,172,15350,10,1,16,887,95,581,,,,,,,,,,,,,14,5,,,,,,,,,,,,,,,,,,LJEW091
Charming Necklace,????,,,172,16000,10,1,18,887,95,581,,,,,,,,,,,,,14,5,,,,,,,,,,,,,,,,,,LJEW092
Talisman Necklace,??????,,,172,27200,10,1,20,888,95,581,,,,,,,,,,,,,21,9,,,,,,,,,,,,,,,,,,LJEW093
Recovery Necklace,HP????,,,172,25400,10,1,22,887,95,581,,,,,,,,,,,,,27,4,,,,,,,,,,,,,,,,,,LJEW094
Meditation Necklace,MP????,,,172,26400,10,1,24,888,95,581,,,,,,,,,,,,,28,4,,,,,,,,,,,,,,,,,,LJEW095
Evasion Necklace,??????,,,172,54000,10,1,26,890,95,581,,,,,,,,,,,,,22,13,,,,,,,,,,,,,,,,,,LJEW096
Alluring Necklace,????,,,172,52700,10,1,28,892,95,581,,,,,,,,,,,,,14,10,,,,,,,,,,,,,,,,,,LJEW097
Fascinating Necklace,????,,,172,63200,10,1,30,891,95,581,,,,,,,,,,,,,14,11,,,,,,,,,,,,,,,,,,LJEW098
Necklace of Magic,??????,,,172,92800,10,1,32,891,95,581,,,,,,,,,,,,,21,17,,,,,,,,,,,,,,,,,,LJEW099
Lizard Necklace,HP????,,,172,67750,10,1,34,898,95,581,,,,,,,,,,,,,27,7,,,,,,,,,,,,,,,,,,LJEW100
Mage Necklace,MP????,,,172,85050,10,1,36,895,95,581,,,,,,,,,,,,,28,8,,,,,,,,,,,,,,,,,,LJEW101
Lucky Necklace,??????,,,172,170250,10,1,38,893,95,581,,,,,,,,,,,,,22,23,,,,,,,,,,,,,,,,,,LJEW102
Gorgeous Necklace,????,,,172,164450,10,1,40,894,95,581,,,,,,,,,,,,,14,18,,,,,,,,,,,,,,,,,,LJEW103
Dazzling Necklace,????,,,172,185300,10,1,42,899,95,581,,,,,,,,,,,,,14,19,,,,,,,,,,,,,,,,,,LJEW104
Dark Necklace,??????,,,172,278550,10,1,44,895,95,581,,,,,,,,,,,,,21,29,,,,,,,,,,,,,,,,,,LJEW105
Cure Necklace,HP????,,,172,183050,10,1,46,897,95,581,,,,,,,,,,,,,27,12,,,,,,,,,,,,,,,,,,LJEW106
Sage Necklace,MP????,,,172,187900,10,1,48,897,95,581,,,,,,,,,,,,,28,12,,,,,,,,,,,,,,,,,,LJEW107
Shadow Necklace,??????,,,172,444200,10,1,50,895,95,581,,,,,,,,,,,,,22,36,,,,,,,,,,,,,,,,,,LJEW108
Sunset Necklace,????+??????,,,172,821060,10,1,52,894,95,581,,,,,,,,,,,,,14,28,,21,28,,,,,,,,,,,,,,,LJEW109
Full Moon Necklace,????+??????,,,172,949550,10,1,54,893,95,581,,,,,,,,,,,,,14,30,,21,30,,,,,,,,,,,,,,,LJEW110
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,884,95,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shining Earring,????,,,173,4150,10,1,8,858,95,581,,,,,,,,,,,,,14,2,,,,,,,,,,,,,,,,,,LJEW151
Light Earring,????,,,173,4150,10,1,8,858,95,581,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,,,,LJEW152
Textual Earring,????,,,173,4150,10,1,8,858,95,581,,,,,,,,,,,,,12,2,,,,,,,,,,,,,,,,,,LJEW153
Heavy Earring,????,,,173,4150,10,1,8,859,95,581,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,,,,LJEW154
Pierced Earring,??????,,,173,4750,10,1,8,859,95,581,,,,,,,,,,,,,20,3,,,,,,,,,,,,,,,,,,LJEW155
Glass Earring,????????,,,173,4150,10,1,8,859,95,581,,,,,,,,,,,,,26,2,,,,,,,,,,,,,,,,,,LJEW156
Smooth Earring,??????,,,173,4750,10,1,8,860,95,581,,,,,,,,,,,,,22,3,,,,,,,,,,,,,,,,,,LJEW157
Pointed Earring,??????,,,173,4100,10,1,8,860,95,581,,,,,,,,,,,,,18,3,,,,,,,,,,,,,,,,,,LJEW158
Solid Earring,??????,,,173,4750,10,1,8,860,95,581,,,,,,,,,,,,,19,3,,,,,,,,,,,,,,,,,,LJEW159
Amulet Earring,??????,,,173,4750,10,1,8,860,95,581,,,,,,,,,,,,,21,3,,,,,,,,,,,,,,,,,,LJEW160
Glamour Earring,????,,,173,15350,10,1,16,861,95,581,,,,,,,,,,,,,14,5,,,,,,,,,,,,,,,,,,LJEW161
Charming Earring,????,,,173,16000,10,1,18,862,95,581,,,,,,,,,,,,,14,5,,,,,,,,,,,,,,,,,,LJEW162
Talisman Earring,??????,,,173,27200,10,1,20,863,95,581,,,,,,,,,,,,,21,9,,,,,,,,,,,,,,,,,,LJEW163
Recovery Earring,HP????,,,173,25400,10,1,22,862,95,581,,,,,,,,,,,,,27,4,,,,,,,,,,,,,,,,,,LJEW164
Meditation Earring,MP????,,,173,26400,10,1,24,861,95,581,,,,,,,,,,,,,28,4,,,,,,,,,,,,,,,,,,LJEW165
Critical Earring,????????,,,173,43350,10,1,26,863,95,581,,,,,,,,,,,,,26,9,,,,,,,,,,,,,,,,,,LJEW166
Alluring Earring,????,,,173,52700,10,1,28,862,95,581,,,,,,,,,,,,,14,10,,,,,,,,,,,,,,,,,,LJEW167
Fascinating Earring,????,,,173,63200,10,1,30,862,95,581,,,,,,,,,,,,,14,11,,,,,,,,,,,,,,,,,,LJEW168
Earring of Magic,??????,,,173,92800,10,1,32,862,95,581,,,,,,,,,,,,,21,17,,,,,,,,,,,,,,,,,,LJEW169
Lizard Earring,HP????,,,173,67750,10,1,34,861,95,581,,,,,,,,,,,,,27,7,,,,,,,,,,,,,,,,,,LJEW170
Mage Earring,MP????,,,173,85050,10,1,36,863,95,581,,,,,,,,,,,,,28,8,,,,,,,,,,,,,,,,,,LJEW171
Deadly Earring,????????,,,173,131150,10,1,38,863,95,581,,,,,,,,,,,,,26,16,,,,,,,,,,,,,,,,,,LJEW172
Gorgeous Earring,????,,,173,164450,10,1,40,865,95,581,,,,,,,,,,,,,14,18,,,,,,,,,,,,,,,,,,LJEW173
Dazzling Earring,????,,,173,185300,10,1,42,865,95,581,,,,,,,,,,,,,14,19,,,,,,,,,,,,,,,,,,LJEW174
Dark Earring,??????,,,173,278550,10,1,44,864,95,581,,,,,,,,,,,,,21,29,,,,,,,,,,,,,,,,,,LJEW175
Cure Earring,HP????,,,173,183050,10,1,46,869,95,581,,,,,,,,,,,,,27,12,,,,,,,,,,,,,,,,,,LJEW176
Sage Earring,MP????,,,173,187900,10,1,48,869,95,581,,,,,,,,,,,,,28,12,,,,,,,,,,,,,,,,,,LJEW177
Assassin Earring,????????,,,173,354300,10,1,50,865,95,581,,,,,,,,,,,,,26,26,,,,,,,,,,,,,,,,,,LJEW178
Noble Lady's Earring,????,,,173,414000,10,1,52,867,95,581,,,,,,,,,,,,,14,28,,,,,,,,,,,,,,,,,,LJEW179
Angel Earring,????,,,173,479550,10,1,54,869,95,581,,,,,,,,,,,,,14,30,,,,,,,,,,,,,,,,,,LJEW180
Holy Earring,??????,,,173,689450,10,1,56,868,95,581,,,,,,,,,,,,,21,44,,,,,,,,,,,,,,,,,,LJEW181
Tranquil Earring,HP????,,,173,374750,10,1,58,869,95,581,,,,,,,,,,,,,27,17,,,,,,,,,,,,,,,,,,LJEW182
Silence Earring,MP????,,,173,422000,10,1,60,868,95,581,,,,,,,,,,,,,28,18,,,,,,,,,,,,,,,,,,LJEW183
One-Shot Earring,????????,,,173,804900,10,1,62,865,95,581,,,,,,,,,,,,,26,38,,,,,,,,,,,,,,,,,,LJEW184
Twinkling,????,,,173,903250,10,1,64,872,95,581,,,,,,,,,,,,,14,40,,,,,,,,,,,,,,,,,,LJEW185
Siren's Song,????,,,173,1008850,10,1,66,873,95,581,,,,,,,,,,,,,14,42,,,,,,,,,,,,,,,,,,LJEW186
Silver Earring,??????,,,173,1489500,10,1,68,871,95,581,,,,,,,,,,,,,21,62,,,,,,,,,,,,,,,,,,LJEW187
Holy Spirit's Earring,HP????,,,173,768900,10,1,70,873,95,581,,,,,,,,,,,,,27,24,,,,,,,,,,,,,,,,,,LJEW188
Saint's Earring,MP????,,,173,842400,10,1,72,871,95,581,,,,,,,,,,,,,28,25,,,,,,,,,,,,,,,,,,LJEW189
Death Blow,????????,,,173,1623350,10,1,74,872,95,581,,,,,,,,,,,,,26,52,,,,,,,,,,,,,,,,,,LJEW190
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
