,,,,,,,,,,Forge,Seasonal Event,Item Swap,No Disassem
Karkian Forge,,,,,,,,,,,,,
Ancient Karkian Weapon,,8,225,8,225,8,225,12001,100,1,,,
Spiritual Ra Set,,7473,1,7474,1,7472,1,,,,,,1
Twisted Growth Set,,7494,1,7493,1,7492,1,,,,,,1
Enthroning Ice Set,,7497,1,7496,1,7495,1,,,,,,1
Max HP Set,,7291,1,7290,1,7032,1,,,,,,1
Unholy Set,,7518,1,7517,1,7516,1,,,,,,1
Twilight Set Box,,7515,1,7514,1,7513,1,,,,,,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Blue Armored Beetle Core,,14264,1,12365,10,12364,10,,,,,,
Blue Armored Beetle Leg,,14265,1,12365,10,12364,10,,,,,,
Blue Armored Beetle Arms,,14266,1,12365,10,12364,10,,,,,,
Red Armored Beetle Core,,14264,1,12369,10,12364,10,,,,,,
Red Armored Beetle Leg,,14265,1,12369,10,12364,10,,,,,,
Red Armored Beetle Arms,,14266,1,12369,10,12364,10,,,,,,
White Armored Beetle Core,,14264,1,12370,10,12369,10,,,,,,
White Armored Beetle Leg,,14265,1,12370,10,12369,10,,,,,,
White Armored Beetle Arms,,14266,1,12370,10,12369,10,,,,,,
,,,,,,,,,,,,,
Black Wooden Stock Core,,14031,1,12364,10,,,,,,,,
Blue Wooden Stock Core,,14031,1,12365,10,,,,,,,,
Green Wooden Stock Core,,14031,1,12366,10,,,,,,,,
Pink Wooden Stock Core,,14031,1,12367,10,,,,,,,,
Purple Wooden Stock Core,,14031,1,12368,10,,,,,,,,
Red Wooden Stock Core,,14031,1,12369,10,,,,,,,,
White Wooden Stock Core,,14031,1,12370,10,,,,,,,,
Yellow Wooden Stock Core,,14031,1,12371,10,,,,,,,,
,,,,,,,,,,,,,
Black Reinforced Stock Core,,14032,1,12364,10,,,,,,,,
Blue Reinforced Stock Core,,14032,1,12365,10,,,,,,,,
Green Reinforced Stock Core,,14032,1,12366,10,,,,,,,,
Pink Reinforced Stock Core,,14032,1,12367,10,,,,,,,,
Purple Reinforced Stock Core,,14032,1,12368,10,,,,,,,,
Red Reinforced Stock Core,,14032,1,12369,10,,,,,,,,
White Reinforced Stock Core,,14032,1,12370,10,,,,,,,,
Yellow Reinforced Stock Core,,14032,1,12371,10,,,,,,,,
,,,,,,,,,,,,,
Oro Black Core,,14241,1,12364,10,,,,,,,,
Oro Blue Core,,14241,1,12365,10,,,,,,,,
Oro Green Core,,14241,1,12366,10,,,,,,,,
Oro Pink Core,,14241,1,12367,10,,,,,,,,
Oro Purple Core,,14241,1,12368,10,,,,,,,,
Oro Yellow Core,,14241,1,12371,10,,,,,,,,
Oro White Core,,14241,1,12370,10,,,,,,,,
,,,,,,,,,,,,,
Black Stand Leg,,14231,1,12364,10,,,,,,,,
Blue Stand Leg,,14231,1,12365,10,,,,,,,,
Green Stand Leg,,14231,1,12366,10,,,,,,,,
Pink Stand Leg,,14231,1,12367,10,,,,,,,,
Purple Stand Leg,,14231,1,12368,10,,,,,,,,
Red Stand Leg,,14231,1,12369,10,,,,,,,,
White Stand Leg,,14231,1,12370,10,,,,,,,,
Yellow Stand Leg,,14231,1,12371,10,,,,,,,,
,,,,,,,,,,,,,
Black Runihol Leg,,14232,1,12364,10,,,,,,,,
Blue Runihol Leg,,14232,1,12365,10,,,,,,,,
Green Runihol Leg,,14232,1,12366,10,,,,,,,,
Pink Runihol Leg,,14232,1,12367,10,,,,,,,,
Purple Runihol Leg,,14232,1,12368,10,,,,,,,,
Red Runihol Leg,,14232,1,12369,10,,,,,,,,
White Runihol Leg,,14232,1,12370,10,,,,,,,,
Yellow Runihol Leg,,14232,1,12371,10,,,,,,,,
,,,,,,,,,,,,,
Oro Black Leg,,14240,1,12364,10,,,,,,,,
Oro Blue Leg,,14240,1,12365,10,,,,,,,,
Oro Green Leg,,14240,1,12366,10,,,,,,,,
Oro Pink Leg,,14240,1,12367,10,,,,,,,,
Oro Purple Leg,,14240,1,12368,10,,,,,,,,
Oro Yellow Leg,,14240,1,12371,10,,,,,,,,
Oro White Leg,,14240,1,12370,10,,,,,,,,
,,,,,,,,,,,,,
Black Wooden Punch Arms,,14330,1,12364,10,,,,,,,,
Blue Wooden Punch Arms,,14330,1,12365,10,,,,,,,,
Green Wooden Punch Arms,,14330,1,12366,10,,,,,,,,
Pink Wooden Punch Arms,,14330,1,12367,10,,,,,,,,
Purple Wooden Punch Arms,,14330,1,12368,10,,,,,,,,
Red Wooden Punch Arms,,14330,1,12369,10,,,,,,,,
White Wooden Punch Arms,,14330,1,12370,10,,,,,,,,
Yellow Wooden Punch Arms,,14330,1,12371,10,,,,,,,,
,,,,,,,,,,,,,
Black Punch Arms,,14331,1,12364,10,,,,,,,,
Blue Punch Arms,,14331,1,12365,10,,,,,,,,
Green Punch Arms,,14331,1,12366,10,,,,,,,,
Pink Punch Arms,,14331,1,12367,10,,,,,,,,
Purple Punch Arms,,14331,1,12368,10,,,,,,,,
Red Punch Arms,,14331,1,12369,10,,,,,,,,
White Punch Arms,,14331,1,12370,10,,,,,,,,
Yellow Punch Arms,,14331,1,12371,10,,,,,,,,
,,,,,,,,,,,,,
Black Sword Wheel Arms,,14333,1,12364,10,,,,,,,,
Blue Sword Wheel Arms,,14333,1,12365,10,,,,,,,,
Green Sword Wheel Arms,,14333,1,12366,10,,,,,,,,
Pink Sword Wheel Arms,,14333,1,12367,10,,,,,,,,
Purple Sword Wheel Arms,,14333,1,12368,10,,,,,,,,
Red Sword Wheel Arms,,14333,1,12369,10,,,,,,,,
White Sword Wheel Arms,,14333,1,12370,10,,,,,,,,
Yellow Sword Wheel Arms,,14333,1,12371,10,,,,,,,,
,,,,,,,,,,,,,
Black Cannon Arms,,14334,1,12364,10,,,,,,,,
Blue Cannon Arms,,14334,1,12365,10,,,,,,,,
Green Cannon Arms,,14334,1,12366,10,,,,,,,,
Pink Cannon Arms,,14334,1,12367,10,,,,,,,,
Purple Cannon Arms,,14334,1,12368,10,,,,,,,,
Red Cannon Arms,,14334,1,12369,10,,,,,,,,
White Cannon Arms,,14334,1,12370,10,,,,,,,,
Yellow Cannon Arms,,14334,1,12371,10,,,,,,,,
,,,,,,,,,,,,,
Black Spear Arms,,14335,1,12364,10,,,,,,,,
Blue Spear Arms,,14335,1,12365,10,,,,,,,,
Green Spear Arms,,14335,1,12366,10,,,,,,,,
Pink Spear Arms,,14335,1,12367,10,,,,,,,,
Purple Spear Arms,,14335,1,12368,10,,,,,,,,
Red Spear Arms,,14335,1,12369,10,,,,,,,,
White Spear Arms,,14335,1,12370,10,,,,,,,,
Yellow Spear Arms,,14335,1,12371,10,,,,,,,,
,,,,,,,,,,,,,
Black Drill Arms,,14332,1,12364,10,,,,,,,,
Blue Drill Arms,,14332,1,12365,10,,,,,,,,
Green Drill Arms,,14332,1,12366,10,,,,,,,,
Pink Drill Arms,,14332,1,12367,10,,,,,,,,
Purple Drill Arms,,14332,1,12368,10,,,,,,,,
Red Drill Arms,,14332,1,12369,10,,,,,,,,
White Drill Arms,,14332,1,12370,10,,,,,,,,
Yellow Drill Arms,,14332,1,12371,10,,,,,,,,
,,,,,,,,,,,,,
Oro Black Arms,,14242,1,12364,10,,,,,,,,
Oro Blue Arms,,14242,1,12365,10,,,,,,,,
Oro Green Arms,,14242,1,12366,10,,,,,,,,
Oro Pink Arms,,14242,1,12367,10,,,,,,,,
Oro Purple Arms,,14242,1,12368,10,,,,,,,,
Oro Yellow Arms,,14242,1,12371,10,,,,,,,,
Oro White Arms,,14242,1,12370,10,,,,,,,,
,,,,,,,,,,,,,
Crate of Platinum Arrows,,12307,999,12471,2,,,,,,,10556,
Crate of Storm Arrows,,12317,999,12473,3,,,,,,,10557,
Crate of Cherry Blossom Arrows,,12318,999,12474,2,,,,,,,10558,
Crate of Vengeance Arrows,,12319,999,12476,3,,,,,,,10559,
Crate of Gold-Plated Bullets,,12326,999,12471,2,,,,,,,10564,
Crate of Platinum Bullets,,12327,999,12473,3,,,,,,,10565,
Crate of Chromium Bullets,,12328,999,12474,2,,,,,,,10566,
Crate of Vortex Bullets,,12334,999,12476,3,,,,,,,10567,
Crate of Poison Bubbles,,12351,999,12471,2,,,,,,,10572,
Crate of Blaze Bullets,,12352,999,12473,3,,,,,,,10573,
Crate of Rock Cannons,,12346,999,12474,2,,,,,,,10574,
Crate of Cluster Cannons,,12347,999,12476,3,,,,,,,10575,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1 Easter Coupon,,12465,1,,,,,,,,2,,1
2 Easter Coupons,,12465,2,,,,,,,,2,,1
3 Easter Coupons,,12465,3,,,,,,,,2,,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3 Coupons,,12455,3,,,,,,,,3,,1
5 Coupons,,12455,5,,,,,,,,3,,1
10 Coupons,,12455,10,,,,,,,,3,,1
15 Coupons,,12455,15,,,,,,,,3,,1
20 Coupons,,12455,20,,,,,,,,3,,1
,,,,,,,,,,,,,
Boxes,,12425,1,12426,2,12427,3,,,,1,,1
Heart Backshield,,12425,2,12426,8,12427,12,,,,1,,1
Cart Parts,,12425,1,12426,6,12427,9,,,,1,,1
Heart Astarot Wing,,12425,2,12426,8,12427,12,,,,1,,1
Lovely Wooden Frame,,12425,1,12426,6,12427,9,14001,1,,1,,1
Lovely Sporty Frame,,12425,1,12426,6,12427,9,14005,1,,1,,1
Wedding Gloves,,12426,1,12427,1,,,,,,1,,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
