,,,12:????,,,,,10:????,,,11:????,,,01~06:??????,,,08~09:????,,07:??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Sikuku,12281,12281,,,12281,,12281,12279,,12279,,,12279,12279,,12061,12061,12061,12065,12065,12282,12282,12282,12282,12282,12085,10970,12086,12065,12066,,,,,,,,,,,,,,,,,,,,
Sikuku Dismember,12281,12281,12279,12279,,12061,,,12061,,12065,,12282,,12282,12282,12282,10970,12192,12026,12163,12163,12162,12162,12085,12085,12086,12066,12067,12068,,,,,,,,,,,,,,,,,,,,
Sikuku Fleshlasher,12381,12381,10970,12028,12271,12018,10059,12061,,12061,12066,12066,,12067,12067,11400,11400,11391,11392,12085,12085,12085,12086,12086,,12086,12087,12088,12089,6110,,,,,,,,,,,,,,,,,,,,
Chief Turak,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,,,,,,,,,,,,,,,,,,,,
Ambush Antares,12001,,12001,,12001,,,12021,,12021,,12021,,,12093,,12093,,12093,,,12103,,12103,,12131,,12131,,12131,,,,,,,,,,,,,,,,,,,,
Moldie Slave / Rich D Moldie,12381,12527,12064,12527,10382,12528,12528,12530,12533,12064,12061,10382,,12062,12534,12532,12001,12012,12063,12023,10012,10026,10109,,12065,,10166,10175,12164,,,,,,,,,,,,,,,,,,,,,
Moldie Soldier,12381,10176,10167,12065,10383,10021,10383,10058,12066,12020,12028,10384,12063,12064,,12047,12047,12072,,12073,,12092,12103,12104,,12124,12122,,12085,12086,,,,,,,,,,,,,,,,,,,,
Moldie General,12381,12381,,12527,12527,12381,12530,12530,12531,,12063,12064,12065,12533,12534,12533,,10109,10058,10058,10032,10012,,12153,,,12133,12132,12103,12086,,,,,,,,,,,,,,,,,,,,
Moldie Mammoth,12381,12381,,12040,12040,,12191,12192,12187,,10059,12188,12188,12370,12368,12365,12369,12156,12521,12521,12380,12067,12086,12088,5081,2051,3141,8128,8452,8001299,,,,,,,,,,,,,,,,,,,,
Moldie Pharaoh,12381,12381,12521,12381,12533,12533,12534,12532,12369,12365,12153,12152,12521,12133,12104,12103,10059,12521,12380,12068,12085,12086,12087,5051,4081,2111,8187,8080,8358,12535,,,,,,,,,,,,,,,,,,,,
Cursed Moldie Soldier,12381,12381,10382,12527,12527,12381,12530,12530,12531,10384,12063,12064,,12533,12534,12533,,10109,10058,10058,10032,12065,,12153,,,12133,12066,12086,12087,,,,,,,,,,,,,,,,,,,,
Cursed Moldie Mammoth,12381,12381,,12040,12040,,12191,12192,12187,,10059,12188,12188,12370,12368,12365,12369,,12521,12521,12380,12069,12087,12088,5081,2051,3141,8128,8452,8001299,,,,,,,,,,,,,,,,,,,,
Cursed Moldie Pharaoh,12381,12381,12521,12381,12533,12533,12534,12532,12521,12365,12521,12152,12284,12133,12104,12521,12521,12521,12381,12380,12290,12087,12088,5051,4081,2111,8187,8080,8358,12535,,,,,,,,,,,,,,,,,,,,
Moldie Pharaoh (Unique),12381,12381,12521,12381,12533,12533,12534,12532,12369,12365,12153,12152,12521,12133,12104,12103,10059,12521,12380,12068,12085,12086,12087,8187,8080,8358,5001030,4001051,2001072,12535,,,,,,,,,,,,,,,,,,,,
Moldie Scorpion,12381,,12529,12531,,12078,,12132,12133,12071,12530,12530,12530,12284,,12366,12151,12380,12521,12521,12086,12066,12068,12087,4141,2081,3111,8154,8229,8001298,,,,,,,,,,,,,,,,,,,,
Moldie Scorpion (Unique),12381,12381,12529,12531,12531,12078,12078,12132,12133,12071,12530,12530,12530,12284,12284,12366,12151,12380,12521,12521,12087,12067,12069,12088,8001298,8229,8154,4001093,2001051,3001072,,,,,,,,,,,,,,,,,,,,
Moldie Mammoth (Unique),12381,12381,12381,12040,12040,12040,12191,12192,12187,12187,10059,12188,12188,12370,12368,12365,12369,12156,12521,12521,12380,12068,12088,12088,8001299,8452,8128,5001051,2001030,3001093,,,,,,,,,,,,,,,,,,,,
Zombie craps,12381,12001,12008,,12008,10155,12061,12062,12531,12529,10180,10014,,12380,12521,12521,,12368,,,12066,12069,12085,,12087,12088,12521,5141,8326,8058,,,,,,,,,,,,,,,,,,,,
Zombie craps1,12381,12001,12008,,12008,10155,12061,12062,12531,12529,10180,10014,,12380,12521,12521,,12368,,12065,12066,12069,12085,12087,12088,12521,,4111,3051,8288,,,,,,,,,,,,,,,,,,,,
Zombie craps (Unique Craps),12381,12001,12008,12008,12008,10155,12061,12062,12531,12529,10180,10014,10014,12380,12521,12521,12521,12368,12156,12065,12066,12069,12085,12087,8058,8288,8326,4001072,5001093,3001030,,,,,,,,,,,,,,,,,,,,
Robots,12381,12001,12001,12009,12009,12009,12009,12009,12009,,12014,12014,12014,12014,12061,12062,12072,12072,,12085,12085,12099,12099,,12131,12131,12204,12206,12207,12153,,,,,,,,,,,,,,,,,,,,
Zombie Craps 2 (Unique craps 2),12381,12534,12533,12531,12529,12527,12068,12381,12068,12069,12156,12069,12284,12156,12364,12371,12521,12380,12078,12521,12521,12088,12089,8027,8426,8259,4001030,3001051,2001093,5001072,,,,,,,,,,,,,,,,,,,,
Verminios 1,12380,12289,12290,12069,12284,12290,12289,12380,12087,12087,12088,12088,12089,12089,2001031,3001052,4001073,5001094,2001031,3001052,4001073,5001094,8635,8752,8577,8694,8635,8577,8752,8694,,,,,,,,,,,,,,,,,,,,
Verminios 2,12380,12289,12290,12069,12284,12290,12289,12380,12087,12087,12088,12088,12089,12089,2001094,5001073,4001052,3001031,2001094,5001073,4001052,3001031,8695,8001395,8871,8695,8560,8001395,8871,8560,,,,,,,,,,,,,,,,,,,,
Verminios 3,12380,12289,12290,12069,12284,12290,12289,12380,12087,12087,12088,12088,12089,12089,3001094,5001052,2001073,4001031,5001052,2001073,4001031,3001094,8602,8814,8602,8001396,8696,8814,8696,8001396,,,,,,,,,,,,,,,,,,,,
Verminios 4,12380,12289,12290,12069,12284,12290,12289,12380,12087,12087,12088,12088,12089,12089,3001073,2001052,5001031,4001094,3001073,4001094,5001031,2001052,8725,8669,8725,8669,8693,8725,8669,8693,,,,,,,,,,,,,,,,,,,,
Karkian Beasts,10108,10109,10109,10108,10109,10109,10108,10109,10109,10108,10109,10109,10108,10109,10109,10117,10117,10117,10109,10117,10109,10117,10109,10117,12542,10001100,10117,10001100,10109,12542,,,,,,,,,,,,,,,,,,,,
Venerable Snapper,12381,10176,10167,,10383,10021,10383,10058,12066,12020,12028,10384,12063,12064,,12047,12047,12072,11301,12073,12065,12092,12103,12104,11311,12124,12122,12521,12085,12086,,,,,,,,,,,,,,,,,,,,
Stingernail Antares,12381,12001,12001,12009,12009,12009,12009,12009,12009,,12014,12014,12014,12014,12061,12062,12072,12072,,12085,12085,12099,12099,,12131,12131,12204,12206,12207,12153,,,,,,,,,,,,,,,,,,,,
Ambush Antares,12381,12001,12001,12009,12009,12009,12009,12009,12009,,12014,12014,12014,12014,12061,12062,12072,12072,,12085,12085,12099,12099,,12131,12131,12204,12206,12207,12153,,,,,,,,,,,,,,,,,,,,
Lost and Erotion Soul,12078,12381,12381,12104,12133,,12104,,12381,,,12135,,,12023,,12063,12023,,12161,12064,,12163,,12521,11332,11322,11312,11302,11391,,,,,,,,,,,,,,,,,,,,
Bleaking Soul,12078,12381,12078,12381,,12085,,12104,,12133,,12063,12135,,12135,12064,,,12023,12162,12521,12063,12164,12023,11342,11352,11362,11372,11382,11392,,,,,,,,,,,,,,,,,,,,
Adder,12381,12381,,,12133,,12133,,12123,,12109,,12123,10058,,12104,,12103,12104,,,10058,,12061,12084,12068,12085,12086,12521,12521,,,,,,,,,,,,,,,,,,,,
Karkian Beasts,12381,12546,,12546,12546,,12550,12550,,12550,12543,12543,,12549,12549,12077,10177,10166,10156,12063,,12058,12081,11381,12030,12151,12018,12163,12066,11342,,,,,,,,,,,,,,,,,,,,
Armored Romusta,12381,12548,12548,12543,,12549,12549,12012,12549,12012,,12544,12546,12085,12546,12544,12164,12102,,12164,12112,12102,,12062,12072,12157,11391,12086,11342,11411,,,,,,,,,,,,,,,,,,,,
Virus Romusta,12381,10014,,12549,10014,12547,12548,12548,,12550,12550,12550,12543,12544,12545,,12119,12099,12099,12030,12001,12049,12050,12061,12067,12076,12076,12086,11411,11343,,,,,,,,,,,,,,,,,,,,
Fazzys,12381,12546,12546,12546,12546,12547,12067,10057,12543,12543,12543,12065,10033,10033,12062,10014,10014,12547,12550,10058,12550,12550,12071,12071,12062,12073,12086,11301,11362,11411,,,,,,,,,,,,,,,,,,,,
Poison Fazzy,12381,10159,10169,12557,10180,12551,10014,12551,10033,12064,12545,12545,12551,12557,12164,12163,12162,12161,12154,12153,12551,12081,12083,12086,12086,12066,12067,12068,12551,11412,,,,,,,,,,,,,,,,,,,,
Hilabos The Conqueror,12381,12546,12546,12546,12547,12547,12544,12544,12548,12557,12548,12549,12068,12068,12069,12557,12087,12155,12156,12157,12556,12556,12085,12086,12087,11412,12553,12553,12553,12553,,,,,,,,,,,,,,,,,,,,
Soul Ripper,12381,12546,12546,12546,12547,12547,12544,12544,12548,12548,12548,12549,12545,12545,,12151,12152,,12153,12556,12065,12557,12067,12068,12069,12557,12556,11413,12553,12557,,,,,,,,,,,,,,,,,,,,
Crystal Spider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12236,,,,,,,,,,,,,,,,,,,,
Temple Golems,12005,12005,12005,12006,12009,12018,12018,12028,12028,12029,,12073,12073,12074,12074,,12081,12081,12121,12122,12123,12124,12125,12136,12137,12161,12162,12066,12066,11411,,,,,,,,,,,,,,,,,,,,
Denvanus,12010,12020,12030,12040,12050,12381,12381,12068,12001,12161,12162,12067,12164,12151,12152,12069,12154,12155,12156,12069,12068,12068,12069,12557,12086,12087,12087,12088,12557,4801,,,,,,,,,,,,,,,,,,,,
Ferulahs,12381,12043,12043,12043,12043,12043,12043,12043,12043,12043,12048,12048,12048,12048,12048,12048,12048,12048,12048,12050,12050,12050,12080,12080,12080,12062,12062,12064,12152,11411,,,,,,,,,,,,,,,,,,,,
Arvaos,12381,10970,10970,10059,10059,10159,10169,10159,10169,10315,10316,10383,10383,12065,12153,12152,12152,12067,,12069,12557,12069,11411,12086,12557,12086,11411,12087,12557,11412,,,,,,,,,,,,,,,,,,,,
Breathers,12381,10012,10013,10014,10030,10031,10032,10033,10382,10109,10109,,10157,10382,10158,10160,10165,10166,12098,12098,12098,12098,12098,12098,12113,12114,12154,12151,12163,11411,,,,,,,,,,,,,,,,,,,,
Essifaz,11411,11412,12557,12557,12557,12547,12547,12153,12545,12545,12556,12556,12556,12556,12556,12066,12067,12068,12069,12085,12086,12087,12088,12089,,2967,6435,2967,6435,8936,,,,,,,,,,,,,,,,,,,,
Nest Caddet,12098,12098,12098,12098,12098,12098,12098,12098,12098,12098,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12072,12072,12072,12072,12072,12072,12072,12072,12072,12151,,,,,,,,,,,,,,,,,,,,
Judge's Illusion,12557,10001,10001,10021,10021,10021,12001,12557,12021,12031,12041,12051,10382,10383,10384,12556,12556,12157,12156,12066,12067,12068,1285,12086,11411,11412,12552,12552,12552,12552,,,,,,,,,,,,,,,,,,,,
Raised Mutated Karkian,12381,12546,,12546,12546,,12550,12550,,12550,12543,12543,,12549,12549,12077,10177,10166,10156,,,12058,12081,11341,12030,,12018,12163,12087,11342,,,,,,,,,,,,,,,,,,,,
Raised Mutated Boss,12381,12086,12546,12546,12087,12549,12549,12088,12549,12550,12550,12550,12012,12012,12069,12067,12075,12075,10006,10014,10112,10061,12557,12557,12152,12155,4051,3051,11363,11413,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
