string,string,string,string,"0: Outdoor, 1: Underground, 2: Game Arena",string,string,list_sky,string,,,string,string,,,,,,,str_planet,list_stepsound,list_camera,string,string,string,,string,,,,1:cart/m 2:cgs,int,,,int,int,worldmap,string,No terrain,Seasonal Textures,1: Bonfires 2: None,GM Only,Block EQ Changes,Block Fairy,Block Shops,Hide On Map Dlg,Client PvP,Armory Hide,Block Bag,Skip Checksum,Block Pets,Block Skills,Leave Party,Force Weather,string,Hide Minimap,Upgrading,Team Chat,RespawnTimer,Auto PK Mode,Game Arena,Tooltip String,MaxAltitude,Wmap Zulie
Team Deathmatch,3Ddata\MAPS\GameArenas\TeamDeathmatch_1\map.zon,start,restore,2,,,0,3Ddata\MAPS\GameArenas\TeamDeathmatch_1\minimap.DDS,31,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,160,0,11,112,128,2,1,4,,TEAMDM_JoinZone,,,7000,LZON164,,,,0,,,,0,25,2,,,,1,,,1,1,2,,,,1,,,,,,,,1,,,,,,
Team Deathmatch,3Ddata\MAPS\GameArenas\TeamDeathmatch_2\map.zon,start,restore,2,,,2,3Ddata\MAPS\GameArenas\TeamDeathmatch_2\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,11,130,80,2,1,3,,TEAMDM_JoinZone,,,6000,LZON165,1,4,4,0,,,,0,25,,,,,1,,,1,1,2,,,,1,,,,,,,,1,,,,,,
Team Deathmatch,3Ddata\MAPS\GameArenas\TeamDeathmatch_3\map.zon,start,restore,2,,,5,3Ddata\MAPS\GameArenas\TeamDeathmatch_3\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,20,190,230,2,1,3,,TEAMDM_JoinZone,,,6000,LZON166,1,8,4,0,,,,0,25,55,,,,1,,,1,1,2,,,,1,,,,,,,,1,,,,,,
Team Deathmatch,3Ddata\MAPS\GameArenas\TeamDeathmatch_4\map.zon,start,restore,2,,,10,3Ddata\MAPS\GameArenas\TeamDeathmatch_4\minimap.DDS,29,30,3DDATA\\ORO\\LIST_DECO_ORO.ZSC,3DDATA\\ORO\\LIST_CNST_ORO.ZSC,200,0,10,80,90,1,4,4,,TEAMDM_JoinZone,,,4000,LZON167,,4,4,0,,,,0,25,72,,,,1,,,1,1,2,,,,1,,,,,,,,1,,,,,,
Team Deathmatch,3Ddata\MAPS\GameArenas\TeamDeathmatch_5\map.zon,start,restore,2,,,0,3Ddata\MAPS\GameArenas\TeamDeathmatch_5\minimap.DDS,31,31,3DDATA\ORO\LIST_DECO_NA_ODD.ZSC,3DDATA\ORO\LIST_CNST_NA_ODD.ZSC,360,0,30,300,330,1,4,2,,TEAMDM_JoinZone,,,5000,LZON168,,,,0,,,,0,25,2,,,,1,,,1,1,2,,,,1,,,,,,,,1,,,,,,
Team Deathmatch,3Ddata\MAPS\GameArenas\TeamDeathmatch_6\map.zon,start,restore,2,,,0,3Ddata\MAPS\GameArenas\TeamDeathmatch_6\minimap.DDS,31,30,3DDATA\\JUNON\\LIST_DECO_JD.ZSC,3DDATA\\JUNON\\LIST_CNST_JD.ZSC,160,0,6,86,96,1,1,1,,TEAMDM_JoinZone,,,5500,LZON169,,4,4,0,,,,0,25,28,,,,1,,,1,1,2,,,,1,,,,,,,,1,,,,,,
map1,,start,restore,0,Sound\BGM\Town01_junon.ogg,Sound\BGM\Town01_junon.ogg,28,,28,28,,3DDATA\\JUNON\\LIST_CNST_FK.ZSC,160,0,10,111,124,,1,2,,PvP1301-340,,,4000,LZON170,,4,4,0,,,,0,25,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
map2,,start,restore,0,Sound\BGM\Town01_junon.ogg,Sound\BGM\Town01_junon.ogg,28,,29,29,,3DDATA\\JUNON\\LIST_CNST_FK.ZSC,160,0,10,111,124,,1,2,,PvP1301-340,,,4000,LZON171,,4,4,0,,,,0,25,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Team Deathmatch,3Ddata\MAPS\GameArenas\TeamDeathmatch_7\map.zon,start,restore,2,,,5,3Ddata\MAPS\GameArenas\TeamDeathmatch_7\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,20,190,230,1,2,3,,TEAMDM_JoinZone,,,6000,LZON172,1,8,4,0,,,,0,25,58,,,,1,,,1,1,2,,,,1,,,,,,,,1,,,,,,
The Colosseum (Luna),3Ddata\MAPS\GameArenas\ClanDuelLuna\map.zon,start,restore,2,,,5,3Ddata\MAPS\GameArenas\ClanDuelLuna\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,20,190,230,1,2,3,,CLANDUEL_JoinZone,,,6000,LZON173,1,8,4,0,,,,0,25,58,,,,1,,,1,1,1,,,,1,,,,,,,,1,,,,,,
The Colosseum (Eldeon),3Ddata\MAPS\GameArenas\ClanDuelEldeon\map.zon,start,restore,2,,,6,3Ddata\Maps\ELDEON\EJ01\minimap.DDS,31,31,3DDATA\\ELDEON\\LIST_DECO_EJ.ZSC,3DDATA\\ELDEON\\LIST_CNST_EJ.ZSC,200,0,10,80,90,1,3,2,,CLANDUEL_JoinZone,,,6000,LZON174,3,4,4,0,,,,1,25,62,,,,1,,,1,1,1,,,,1,,,,,,,,1,,,,,,
The Colosseum (Royal Skirmish),3Ddata\MAPS\GameArenas\ClanDuelRoyalSkirmish\RoyalSkirmish.zon,start,restore,2,,,0,3Ddata\MAPS\GameArenas\ClanDuelJunon\minimap.DDS,31,30,3DDATA\JUNON\LIST_DECO_JPT.ZSC,3DDATA\JUNON\LIST_CNST_JPT.ZSC,720,0,0,720,720,2,1,4,,CLANDUEL_JoinZone,,,7000,LZON175,,,,0,,,,0,25,2,,,,1,,,1,1,1,,,,1,,,,,,1,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xita Refuge (Classic),,start,restore,0,Sound\BGM\Plain04_eldeon.ogg,Sound\BGM\Plain04_eldeon.ogg,6,3Ddata\Maps\ELDEON\EJT01\minimap.DDS,31,31,3DDATA\\ELDEON\\LIST_DECO_EJ.ZSC,3DDATA\\ELDEON\\LIST_CNST_EJ.ZSC,200,0,10,80,90,,3,2,,PvP1301-340,,,6000,LZON061,3,4,4,0,,,,1,25,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clan Stronghold,3Ddata\MAPS\JUNON\ClanStronghold\ClanStronghold.zon,start,restore,0,Sound\BGM\Town02_junon.ogg,Sound\BGM\Town02_junon.ogg,0,3Ddata\MAPS\JUNON\ClanStronghold\MINIMAP.DDS,31,28,3DDATA\\JUNON\\LIST_DECO_STRONGHOLD.ZSC,3DDATA\\JUNON\\LIST_CNST_JPT.ZSC,160,0,0,160,160,11,8,4,,MAP-Stronghold,,,6000,LZON180,,,,,,,,,25,2,,,,2,,,,1,1,,1,,,,,,,,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karkia Catacombs Test,3Ddata\MAPS\KAKIA\CATACOMBS\CATACOMBS.zon,start,restore,2,,,24,3Ddata\MAPS\ORO\TombsOfSorrows\minimap.dds,30,30,3DDATA\KAKIA\LIST_DECO_CATACOMB.ZSC,3DDATA\KAKIA\LIST_CNST_KAKIA_TERRA.ZSC,720,0,0,720,720,,5,5,,,,,4000,LZON185,,4,4,3,,,,0,25,,,,,1,,,,1,1,,1,,1,1,,,,,1,,1,,,,,,
Pedion Flight Track,3Ddata\MAPS\LUNAR\ETMAP_FLY\ETMAP_FLY.zon,start,restore,2,Sound\BGM\BGM_Fedion.ogg,Sound\BGM\BGM_Fedion.ogg,5,3Ddata\Maps\LUNAR\ETMAP_FLY\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_FLY.ZSC,3DDATA\\Lunar\\LIST_CNST_FLY.ZSC,300,0,20,190,230,,2,3,,ETFLY_START,,,4000,LZON186,,8,4,3,,,,0,25,,,,,2,,1,1,1,2,,1,1,,1,1,,,,,,,,,,,18000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevenberg Garden,3Ddata\MAPS\JUNON\SevenbergGarden\\JG05.ZON,start,restore,0,,,0,3Ddata\MAPS\JUNON\The Sevenberg Garden V3\\JG05.dds,30,30,3DDATA\JUNON\LIST_DECO_JG.ZSC,3DDATA\JUNON\LIST_CNST_JG.ZSC,160,0,11,112,128,,1,,,,,,4000,LZON0047,,4,4,0,,,,0,25,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exile's Trail,3Ddata\Maps\ELDEON\EldeonRace\EldeonRace.zon,start,restore,2,Sound\BGM\Plain02_eldeon.ogg,Sound\BGM\Plain02_eldeon.ogg,6,3Ddata\Maps\ELDEON\EldeonRace\minimap.DDS,31,30,3DDATA\\ELDEON\\LIST_DECO_EJ.ZSC,3DDATA\\ELDEON\\LIST_CNST_EJ.ZSC,200,0,10,80,90,,3,2,,MAP191-QSD,,,6000,LZON191,3,4,4,2,,,,1,25,191,,,,2,,,1,,1,,,,,1,,,,,1,,,,,,,,
MOBA,3Ddata\MAPS\GameArenas\MOBA\Map.zon,start,restore,2,,,0,3Ddata\MAPS\GameArenas\MOBA\Minimap.dds,30,30,3DDATA\JUNON\LIST_DECO_Royale.ZSC,3DDATA\JUNON\LIST_CNST_Royale.ZSC,230,0,11,112,128,1,1,4,,,,,4000,LZON192,,4,4,3,,,,0,25,144,,,,,,,1,,2,,,1,1,,,,1,,,,1,,,,,,
The Colosseum (Luna),3Ddata\MAPS\GameArenas\ClanDuelLuna\map.zon,start,restore,2,,,5,3Ddata\MAPS\GameArenas\ClanDuelLuna\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,20,190,230,1,2,3,,CLANDUEL_JoinZone,,,6000,LZON173,1,8,4,0,,,,0,25,58,,,,1,,,1,1,1,,,,1,,,,,,,,1,,,,,,
The Colosseum (Luna),3Ddata\MAPS\GameArenas\ClanDuelLuna\map.zon,start,restore,2,,,5,3Ddata\MAPS\GameArenas\ClanDuelLuna\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,20,190,230,1,2,3,,CLANDUEL_JoinZone,,,6000,LZON173,1,8,4,0,,,,0,25,58,,,,1,,,1,1,1,,,,1,,,,,,,,1,,,,,,
The Colosseum (Luna),3Ddata\MAPS\GameArenas\ClanDuelLuna\map.zon,start,restore,2,,,5,3Ddata\MAPS\GameArenas\ClanDuelLuna\minimap.DDS,31,31,3DDATA\\Lunar\\LIST_DECO_LP.ZSC,3DDATA\\Lunar\\LIST_CNST_LMT.ZSC,300,0,20,190,230,1,2,3,,CLANDUEL_JoinZone,,,6000,LZON173,1,8,4,0,,,,0,25,58,,,,1,,,1,1,1,,,,1,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tombs Of Sorrows 1,3Ddata\MAPS\ORO\TombsOfSorrows\map.zon,start,restore,2,Sound\BGM\Tombs.ogg,Sound\BGM\Tombs.ogg,24,3Ddata\MAPS\ORO\TombsOfSorrows\minimap.dds,30,30,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3Ddata\ORO\LIST_CNST_ORO_RAMESSES_MINES.ZSC,160,0,11,112,128,,4,5,,TOS-Map1,,,4000,LZON201,,4,4,3,201,488179,550928,0,25,88,TOS-DungDeath,,,1,,,,1,1,,1,,1,1,,,,,1,,1,,,,,,
Tombs Of Sorrows 2,3Ddata\MAPS\ORO\TombsOfSorrows\map.zon,start,restore,2,Sound\BGM\Tombs.ogg,Sound\BGM\Tombs.ogg,24,3Ddata\MAPS\ORO\TombsOfSorrows\minimap.dds,30,30,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3Ddata\ORO\LIST_CNST_ORO_RAMESSES_MINES.ZSC,160,0,11,112,128,,4,5,,TOS-Map1,,,4000,LZON201,,4,4,3,202,488179,550928,0,25,88,TOS-DungDeath,,,1,,,,1,1,,1,,1,1,,,,,1,,1,,,,,,
Tombs Of Sorrows 3,3Ddata\MAPS\ORO\TombsOfSorrows\map.zon,start,restore,2,Sound\BGM\Tombs.ogg,Sound\BGM\Tombs.ogg,24,3Ddata\MAPS\ORO\TombsOfSorrows\minimap.dds,30,30,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3Ddata\ORO\LIST_CNST_ORO_RAMESSES_MINES.ZSC,160,0,11,112,128,,4,5,,TOS-Map1,,,4000,LZON201,,4,4,3,203,488179,550928,0,25,88,TOS-DungDeath,,,1,,,,1,1,,1,,1,1,,,,,1,,1,,,,,,
Tombs Of Sorrows 4,3Ddata\MAPS\ORO\TombsOfSorrows\map.zon,start,restore,2,Sound\BGM\Tombs.ogg,Sound\BGM\Tombs.ogg,24,3Ddata\MAPS\ORO\TombsOfSorrows\minimap.dds,30,30,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3Ddata\ORO\LIST_CNST_ORO_RAMESSES_MINES.ZSC,160,0,11,112,128,,4,5,,TOS-Map1,,,4000,LZON201,,4,4,3,204,488179,550928,0,25,88,TOS-DungDeath,,,1,,,,1,1,,1,,1,1,,,,,1,,1,,,,,,
Tombs Of Sorrows 5,3Ddata\MAPS\ORO\TombsOfSorrows\map.zon,start,restore,2,Sound\BGM\Tombs.ogg,Sound\BGM\Tombs.ogg,24,3Ddata\MAPS\ORO\TombsOfSorrows\minimap.dds,30,30,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3Ddata\ORO\LIST_CNST_ORO_RAMESSES_MINES.ZSC,160,0,11,112,128,,4,5,,TOS-Map1,,,4000,LZON201,,4,4,3,205,488179,550928,0,25,88,TOS-DungDeath,,,1,,,,1,1,,1,,1,1,,,,,1,,1,,,,,,
Tombs Of Sorrows 6,3Ddata\MAPS\ORO\TombsOfSorrows\map.zon,start,restore,2,Sound\BGM\Tombs.ogg,Sound\BGM\Tombs.ogg,24,3Ddata\MAPS\ORO\TombsOfSorrows\minimap.dds,30,30,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3Ddata\ORO\LIST_CNST_ORO_RAMESSES_MINES.ZSC,160,0,11,112,128,,4,5,,TOS-Map1,,,4000,LZON201,,4,4,3,206,488179,550928,0,25,88,TOS-DungDeath,,,1,,,,1,1,,1,,1,1,,,,,1,,1,,,,,,
Tombs Of Sorrows 7,3Ddata\MAPS\ORO\TombsOfSorrows\map.zon,start,restore,2,Sound\BGM\Tombs.ogg,Sound\BGM\Tombs.ogg,24,3Ddata\MAPS\ORO\TombsOfSorrows\minimap.dds,30,30,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3Ddata\ORO\LIST_CNST_ORO_RAMESSES_MINES.ZSC,160,0,11,112,128,,4,5,,TOS-Map1,,,4000,LZON201,,4,4,3,207,488179,550928,0,25,88,TOS-DungDeath,,,1,,,,1,1,,1,,1,1,,,,,1,,1,,,,,,
Tombs Of Sorrows 8,3Ddata\MAPS\ORO\TombsOfSorrows\map.zon,start,restore,2,Sound\BGM\Tombs.ogg,Sound\BGM\Tombs.ogg,24,3Ddata\MAPS\ORO\TombsOfSorrows\minimap.dds,30,30,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3Ddata\ORO\LIST_CNST_ORO_RAMESSES_MINES.ZSC,160,0,11,112,128,,4,5,,TOS-Map1,,,4000,LZON201,,4,4,3,208,488179,550928,0,25,88,TOS-DungDeath,,,1,,,,1,1,,1,,1,1,,,,,1,,1,,,,,,
Tombs Of Sorrows 9,3Ddata\MAPS\ORO\TombsOfSorrows\map.zon,start,restore,2,Sound\BGM\Tombs.ogg,Sound\BGM\Tombs.ogg,24,3Ddata\MAPS\ORO\TombsOfSorrows\minimap.dds,30,30,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3Ddata\ORO\LIST_CNST_ORO_RAMESSES_MINES.ZSC,160,0,11,112,128,,4,5,,TOS-Map1,,,4000,LZON201,,4,4,3,209,488179,550928,0,25,88,TOS-DungDeath,,,1,,,,1,1,,1,,1,1,,,,,1,,1,,,,,,
Tombs Of Sorrows 10,3Ddata\MAPS\ORO\TombsOfSorrows\map.zon,start,restore,2,Sound\BGM\Tombs.ogg,Sound\BGM\Tombs.ogg,24,3Ddata\MAPS\ORO\TombsOfSorrows\minimap.dds,30,30,3DDATA\\ORO\\LIST_DECO_TOMBS.ZSC,3Ddata\ORO\LIST_CNST_ORO_RAMESSES_MINES.ZSC,160,0,11,112,128,,4,5,,TOS-Map1,,,4000,LZON201,,4,4,3,210,488179,550928,0,25,88,TOS-DungDeath,,,1,,,,1,1,,1,,1,1,,,,,1,,1,,,,,,
Gathering Ossuary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riftborne Sanctum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clan Expedition 1,3DDATA\Maps\Junon\EXPEDITION1\EXPEDITION1.zon,start,restore,0,Sound\BGM\Plain01_junon.ogg,Sound\BGM\Plain01_junon.ogg,32,3Ddata\MAPS\ORO\TombsOfSorrows\minimap.dds,30,30,3DDATA\\JUNON\\LIST_DECO_EXPEDITION.ZSC,3DDATA\\JUNON\\LIST_CNST_FK.ZSC,720,0,0,0,0,,1,2,,PvP1301-340,,,6000,LZON202,,4,4,1,,,,0,25,220,,,,,1,,1,1,1,,,,,1,,,,,1,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
